x,f(x)
0.01,-2.366589311
0.02,-2.010382134
0.03,-1.802014289
0.04,-1.654174949
0.05,-1.539501850
0.06,-1.445807101
0.07,-1.366589324
0.08,-1.297967760
0.09,-1.237439259
0.10,-1.183294659
0.11,-1.134314917
0.12,-1.089599915
0.13,-1.048466100
0.14,-1.010382138
0.15,-0.9749268156
0.16,-0.9417605761
0.17,-0.9106056839
0.18,-0.8812320697
0.19,-0.8534470144
0.20,-0.8270874751
0.21,-0.8020142907
0.22,-0.7781077321
0.23,-0.7552640448
0.24,-0.7333927292
0.25,-0.7124143742
0.26,-0.6922589148
0.27,-0.6728642228
0.28,-0.6541749508
0.29,-0.6361415796
0.30,-0.6187196283
0.31,-0.6018689931
0.32,-0.5855533893
0.33,-0.5697398847
0.34,-0.5543984965
0.35,-0.5395018498
0.36,-0.5250248828
0.37,-0.5109445952
0.38,-0.4972398272
0.39,-0.4838910679
0.40,-0.4708802884
0.41,-0.4581907953
0.42,-0.4458071035
0.43,-0.4337148200
0.44,-0.4219005447
0.45,-0.4103517815
0.46,-0.3990568578
0.47,-0.3880048545
0.48,-0.3771855424
0.49,-0.3665893249
0.50,-0.3562071870
0.51,-0.3460306497
0.52,-0.3360517276
0.53,-0.3262628919
0.54,-0.3166570356
0.55,-0.3072274436
0.56,-0.2979677637
0.57,-0.2888719803
0.58,-0.2799343926
0.59,-0.2711495915
0.60,-0.2625124413
0.61,-0.2540180603
0.62,-0.2456618057
0.63,-0.2374392567
0.64,-0.2293462023
0.65,-0.2213786265
0.66,-0.2135326978
0.67,-0.2058047576
0.68,-0.1981913096
0.69,-0.1906890107
0.70,-0.1832946624
0.71,-0.1760052021
0.72,-0.1688176955
0.73,-0.1617293301
0.74,-0.1547374081
0.75,-0.1478393402
0.76,-0.1410326401
0.77,-0.1343149190
0.78,-0.1276838805
0.79,-0.1211373165
0.80,-0.1146731012
0.81,-0.1082891887
0.82,-0.1019836084
0.83,-0.09575446137
0.84,-0.08959991662
0.85,-0.08351820848
0.86,-0.07750763301
0.87,-0.07156654554
0.88,-0.06569335772
0.89,-0.05988653498
0.90,-0.05414459437
0.91,-0.04846610184
0.92,-0.04284967062
0.93,-0.03729395874
0.94,-0.03179766740
0.95,-0.02635953897
0.96,-0.02097835533
0.97,-0.01565293623
0.98,-0.01038213780
0.99,-0.005164850934
1.00,0
1.01,0.005113458531
1.02,0.01017653732
1.03,0.01519021947
1.04,0.02015545948
1.05,0.02507318450
1.06,0.02994429529
1.07,0.03476966728
1.08,0.03955015147
1.09,0.04428657525
1.10,0.04897974341
1.11,0.05363043887
1.12,0.05823942352
1.13,0.06280743885
1.14,0.06733520685
1.15,0.07182343053
1.16,0.07627279460
1.17,0.08068396626
1.18,0.08505759559
1.19,0.08939431617
1.20,0.09369474582
1.21,0.09795948682
1.22,0.1021891267
1.23,0.1063842384
1.24,0.1105453814
1.25,0.1146731012
1.26,0.1187679303
1.27,0.1228303889
1.28,0.1268609848
1.29,0.1308602138
1.30,0.1348285607
1.31,0.1387664982
1.32,0.1426744892
1.33,0.1465529857
1.34,0.1504024295
1.35,0.1542232526
1.36,0.1580158776
1.37,0.1617807173
1.38,0.1655181765
1.39,0.1692286497
1.40,0.1729125247
1.41,0.1765701796
1.42,0.1802019851
1.43,0.1838083040
1.44,0.1873894916
1.45,0.1909458957
1.46,0.1944778570
1.47,0.1979857092
1.48,0.2014697791
1.49,0.2049303872
1.50,0.2083678471
1.51,0.2117824664
1.52,0.2151745469
1.53,0.2185443842
1.54,0.2218922681
1.55,0.2252184826
1.56,0.2285233063
1.57,0.2318070130
1.58,0.2350698705
1.59,0.2383121420
1.60,0.2415340860
1.61,0.2447359552
1.62,0.2479179985
1.63,0.2510804596
1.64,0.2542235787
1.65,0.2573475904
1.66,0.2604527257
1.67,0.2635392116
1.68,0.2666072705
1.69,0.2696571214
1.70,0.2726889785
1.71,0.2757030537
1.72,0.2786995540
1.73,0.2816786832
1.74,0.2846406416
1.75,0.2875856257
1.76,0.2905138293
1.77,0.2934254426
1.78,0.2963206521
1.79,0.2991996420
1.80,0.3020625928
1.81,0.3049096822
1.82,0.3077410851
1.83,0.3105569736
1.84,0.3133575166
1.85,0.3161428802
1.86,0.3189132283
1.87,0.3216687221
1.88,0.3244095198
1.89,0.3271357771
1.90,0.3298476482
1.91,0.3325452833
1.92,0.3352288319
1.93,0.3378984395
1.94,0.3405542509
1.95,0.3431964076
1.96,0.3458250493
1.97,0.3484403136
1.98,0.3510423363
1.99,0.3536312501
2.00,0.3562071870
2.01,0.3587702766
2.02,0.3613206456
2.03,0.3638584205
2.04,0.3663837244
2.05,0.3688966798
2.06,0.3713974067
2.07,0.3738860233
2.08,0.3763626464
2.09,0.3788273916
2.10,0.3812803716
2.11,0.3837216987
2.12,0.3861514825
2.13,0.3885698320
2.14,0.3909768542
2.15,0.3933726552
2.16,0.3957573385
2.17,0.3981310071
2.18,0.4004937623
2.19,0.4028457040
2.20,0.4051869307
2.21,0.4075175393
2.22,0.4098376260
2.23,0.4121472855
2.24,0.4144466107
2.25,0.4167356938
2.26,0.4190146259
2.27,0.4212834965
2.28,0.4235423939
