x,f(x)
0.01,-2.861353100
0.02,-2.430676554
0.03,-2.178746920
0.04,-1.999999999
0.05,-1.861353117
0.06,-1.748070361
0.07,-1.652291161
0.08,-1.569323438
0.09,-1.496140730
0.10,-1.430676554
0.11,-1.371457012
0.12,-1.317393803
0.13,-1.267660473
0.14,-1.221614603
0.15,-1.178746922
0.16,-1.138646884
0.17,-1.100978689
0.18,-1.065464169
0.19,-1.031870316
0.20,-1
0.21,-0.9696849666
0.22,-0.9407804562
0.23,-0.9131610229
0.24,-0.8867172473
0.25,-0.8613531163
0.26,-0.8369839172
0.27,-0.8135345329
0.28,-0.7909380452
0.29,-0.7691345822
0.30,-0.7480703636
0.31,-0.7276969017
0.32,-0.7079703259
0.33,-0.6888508191
0.34,-0.6703021303
0.35,-0.6522911615
0.36,-0.6347876115
0.37,-0.6177636714
0.38,-0.6011937578
0.39,-0.5850542807
0.40,-0.5693234423
0.41,-0.5539810589
0.42,-0.5390084083
0.43,-0.5243880884
0.44,-0.5101038976
0.45,-0.4961407273
0.46,-0.4824844648
0.47,-0.4691219081
0.48,-0.4560406894
0.49,-0.4432292060
0.50,-0.4306765581
0.51,-0.4183724940
0.52,-0.4063073589
0.53,-0.3944720501
0.54,-0.3828579747
0.55,-0.3714570137
0.56,-0.3602614870
0.57,-0.3492641213
0.58,-0.3384580241
0.59,-0.3278366553
0.60,-0.3173938056
0.61,-0.3071235727
0.62,-0.2970203432
0.63,-0.2870787720
0.64,-0.2772937678
0.65,-0.2676604750
0.66,-0.2581742612
0.67,-0.2488307027
0.68,-0.2396255723
0.69,-0.2305548281
0.70,-0.2216146029
0.71,-0.2128011938
0.72,-0.2041110530
0.73,-0.1955407801
0.74,-0.1870871132
0.75,-0.1787469218
0.76,-0.1705171997
0.77,-0.1623950586
0.78,-0.1543777223
0.79,-0.1464625208
0.80,-0.1386468839
0.81,-0.1309283383
0.82,-0.1233045010
0.83,-0.1157730763
0.84,-0.1083318504
0.85,-0.1009786885
0.86,-0.09371153033
0.87,-0.08652838750
0.88,-0.07942733954
0.89,-0.07240653108
0.90,-0.06546416915
0.91,-0.05859851987
0.92,-0.05180790655
0.93,-0.04509070667
0.94,-0.03844534992
0.95,-0.03187031573
0.96,-0.02536413131
0.97,-0.01892536969
0.98,-0.01255264783
0.99,-0.006244624769
1.00,0
1.01,0.006182488170
1.02,0.01230406412
1.03,0.01836591646
1.04,0.02436919925
1.05,0.03031503348
1.06,0.03620450821
1.07,0.04203868191
1.08,0.04781858347
1.09,0.05354521327
1.10,0.05921954434
1.11,0.06484252329
1.12,0.07041507128
1.13,0.07593808484
1.14,0.08141243687
1.15,0.08683897736
1.16,0.09221853418
1.17,0.09755191401
1.18,0.1028399028
1.19,0.1080832667
1.20,0.1132827526
1.21,0.1184390887
1.22,0.1235529853
1.23,0.1286251353
1.24,0.1336562150
1.25,0.1386468839
1.26,0.1435977861
1.27,0.1485095502
1.28,0.1533827903
1.29,0.1582181060
1.30,0.1630160832
1.31,0.1677772937
1.32,0.1725022969
1.33,0.1771916394
1.34,0.1818458555
1.35,0.1864654673
1.36,0.1910509860
1.37,0.1956029105
1.38,0.2001217301
1.39,0.2046079221
1.40,0.2090619553
1.41,0.2134842866
1.42,0.2178753644
1.43,0.2222356274
1.44,0.2265655052
1.45,0.2308654181
1.46,0.2351357780
1.47,0.2393769887
1.48,0.2435894450
1.49,0.2477735346
1.50,0.2519296367
1.51,0.2560581230
1.52,0.2601593584
1.53,0.2642337005
1.54,0.2682814995
1.55,0.2723030989
1.56,0.2762988356
