x,f(x)
0.01,-1.999999994
0.02,-1.698970006
0.03,-1.522878748
0.04,-1.397940012
0.05,-1.301030000
0.06,-1.221848751
0.07,-1.154901963
0.08,-1.096910014
0.09,-1.045757495
0.10,-1
0.11,-0.9586073164
0.12,-0.9208187549
0.13,-0.8860566484
0.14,-0.8538719668
0.15,-0.8239087435
0.16,-0.7958800194
0.17,-0.7695510810
0.18,-0.7447274971
0.19,-0.7212464013
0.20,-0.6989700063
0.21,-0.6777807072
0.22,-0.6575773213
0.23,-0.6382721659
0.24,-0.6197887599
0.25,-0.6020599931
0.26,-0.5850266538
0.27,-0.5686362376
0.28,-0.5528419704
0.29,-0.5376020037
0.30,-0.5228787467
0.31,-0.5086383079
0.32,-0.4948500231
0.33,-0.4814860614
0.34,-0.4685210842
0.35,-0.4559319573
0.36,-0.4436975008
0.37,-0.4317982773
0.38,-0.4202164046
0.39,-0.4089353943
0.40,-0.3979400100
0.41,-0.3872161442
0.42,-0.3767507105
0.43,-0.3665315454
0.44,-0.3565473245
0.45,-0.3467874873
0.46,-0.3372421694
0.47,-0.3279021430
0.48,-0.3187587636
0.49,-0.3098039209
0.50,-0.3010299965
0.51,-0.2924298248
0.52,-0.2839966572
0.53,-0.2757241313
0.54,-0.2676062410
0.55,-0.2596373112
0.56,-0.2518119738
0.57,-0.2441251451
0.58,-0.2365720072
0.59,-0.2291479890
0.60,-0.2218487503
0.61,-0.2146701655
0.62,-0.2076083112
0.63,-0.2006594511
0.64,-0.1938200266
0.65,-0.1870866439
0.66,-0.1804560649
0.67,-0.1739251978
0.68,-0.1674910878
0.69,-0.1611509097
0.70,-0.1549019604
0.71,-0.1487416518
0.72,-0.1426675040
0.73,-0.1366771403
0.74,-0.1307682807
0.75,-0.1249387371
0.76,-0.1191864081
0.77,-0.1135092751
0.78,-0.1079053975
0.79,-0.1023729091
0.80,-0.09691001334
0.81,-0.09151498144
0.82,-0.08618614787
0.83,-0.08092190787
0.84,-0.07572071415
0.85,-0.07058107450
0.86,-0.06550154894
0.87,-0.06048074755
0.88,-0.05551732801
0.89,-0.05060999348
0.90,-0.04575749072
0.91,-0.04095860780
0.92,-0.03621217276
0.93,-0.03151705153
0.94,-0.02687214647
0.95,-0.02227639478
0.96,-0.01772876702
0.97,-0.01322826577
0.98,-0.008773924335
0.99,-0.004364805414
1.00,0
1.01,0.004321373795
1.02,0.008600171772
1.03,0.01283722474
1.04,0.01703333935
1.05,0.02118929914
1.06,0.02530586533
1.07,0.02938377776
1.08,0.03342375559
1.09,0.03742649805
1.10,0.04139268528
1.11,0.04532297891
1.12,0.04921802282
1.13,0.05307844363
1.14,0.05690485151
1.15,0.06069784055
1.16,0.06445798941
1.17,0.06818586195
1.18,0.07188200753
1.19,0.07554696161
1.20,0.07918124629
1.21,0.08278537056
1.22,0.08635983092
1.23,0.08990511163
1.24,0.09342168544
1.25,0.09691001334
1.26,0.1003705454
1.27,0.1038037212
1.28,0.1072099699
1.29,0.1105897106
1.30,0.1139433527
1.31,0.1172712960
1.32,0.1205739316
1.33,0.1238516413
1.34,0.1271047988
1.35,0.1303337689
1.36,0.1335389089
1.37,0.1367205676
1.38,0.1398790869
1.39,0.1430148006
1.40,0.1461280362
1.41,0.1492191131
1.42,0.1522883448
1.43,0.1553360379
1.44,0.1583624926
1.45,0.1613680027
1.46,0.1643528562
1.47,0.1673173353
1.48,0.1702617159
1.49,0.1731862690
1.50,0.1760912597
1.51,0.1789769478
1.52,0.1818435884
1.53,0.1846914313
1.54,0.1875207214
1.55,0.1903316988
1.56,0.1931245988
1.57,0.1958996529
1.58,0.1986570875
1.59,0.2013971247
1.60,0.2041199833
1.61,0.2068258767
1.62,0.2095150152
1.63,0.2121876050
1.64,0.2148438488
1.65,0.2174839449
1.66,0.2201080886
1.67,0.2227164719
