x,f(x)
0.01,-4.191806522
0.02,-3.560876787
0.03,-3.191806545
0.04,-2.929947038
0.05,-2.726833027
0.06,-2.560876790
0.07,-2.420562798
0.08,-2.299017281
0.09,-2.191806551
0.10,-2.095903267
0.11,-2.009148206
0.12,-1.929947037
0.13,-1.857089024
0.14,-1.789633045
0.15,-1.726833027
0.16,-1.668087533
0.17,-1.612904625
0.18,-1.560876794
0.19,-1.511662689
0.20,-1.464973520
0.21,-1.420562799
0.22,-1.378218456
0.23,-1.337756718
0.24,-1.299017287
0.25,-1.261859507
0.26,-1.226159275
0.27,-1.191806548
0.28,-1.158703292
0.29,-1.126761796
0.30,-1.095903274
0.31,-1.066056691
0.32,-1.037157780
0.33,-1.009148209
0.34,-0.9819748712
0.35,-0.9555892789
0.36,-0.9299470416
0.37,-0.9050074201
0.38,-0.8807329354
0.39,-0.8570890290
0.40,-0.8340437672
0.41,-0.8115675819
0.42,-0.7896330451
0.43,-0.7682146636
0.44,-0.7472887023
0.45,-0.7268330276
0.46,-0.7068269647
0.47,-0.6872511729
0.48,-0.6680875340
0.49,-0.6493190500
0.50,-0.6309297532
0.51,-0.6129046252
0.52,-0.5952295218
0.53,-0.5778911077
0.54,-0.5608767948
0.55,-0.5441746889
0.56,-0.5277735387
0.57,-0.5116626892
0.58,-0.4958320429
0.59,-0.4802720189
0.60,-0.4649735206
0.61,-0.4499279014
0.62,-0.4351269377
0.63,-0.4205627991
0.64,-0.4062280270
0.65,-0.3921155082
0.66,-0.3782184561
0.67,-0.3645303904
0.68,-0.3510451182
0.69,-0.3377567181
0.70,-0.3246595249
0.71,-0.3117481139
0.72,-0.2990172878
0.73,-0.2864620649
0.74,-0.2740776667
0.75,-0.2618595072
0.76,-0.2498031822
0.77,-0.2379044606
0.78,-0.2261592752
0.79,-0.2145637146
0.80,-0.2031140136
0.81,-0.1918065486
0.82,-0.1806378289
0.83,-0.1696044911
0.84,-0.1587032922
0.85,-0.1479311047
0.86,-0.1372849104
0.87,-0.1267617964
0.88,-0.1163589492
0.89,-0.1060736507
0.90,-0.09590327430
0.91,-0.08584527991
0.92,-0.07589721121
0.93,-0.06605669127
0.94,-0.05632141959
0.95,-0.04668916861
0.96,-0.03715778073
0.97,-0.02772516545
0.98,-0.01838929668
0.99,-0.009148209929
1.00,0
1.01,0.009057181457
1.02,0.01802512812
1.03,0.02690558128
1.04,0.03570023160
1.05,0.04441072130
1.06,0.05303864583
1.07,0.06158555581
1.08,0.07005295855
1.09,0.07844231955
1.10,0.08675506432
1.11,0.09499257959
1.12,0.1031562148
1.13,0.1112472834
1.14,0.1192670642
1.15,0.1272168023
1.16,0.1350977106
1.17,0.1429109708
1.18,0.1506577345
1.19,0.1583391237
1.20,0.1659562328
1.21,0.1735101286
1.22,0.1810018518
1.23,0.1884324172
1.24,0.1958028157
1.25,0.2031140136
1.26,0.2103669541
1.27,0.2175625585
1.28,0.2247017262
1.29,0.2317853357
1.30,0.2388142452
1.31,0.2457892925
1.32,0.2527112971
1.33,0.2595810597
1.34,0.2663993630
1.35,0.2731669720
1.36,0.2798846354
1.37,0.2865530842
1.38,0.2931730353
1.39,0.2997451879
1.40,0.3062702285
1.41,0.3127488267
1.42,0.3191816395
1.43,0.3255693094
1.44,0.3319124656
1.45,0.3382117241
1.46,0.3444676884
1.47,0.3506809496
1.48,0.3568520867
1.49,0.3629816671
1.50,0.3690702466
1.51,0.3751183697
1.52,0.3811265710
1.53,0.3870953743
1.54,0.3930252927
1.55,0.3989168293
1.56,0.4047704777
1.57,0.4105867226
1.58,0.4163660387
1.59,0.4221088918
1.60,0.4278157398
1.61,0.4334870307
1.62,0.4391232050
1.63,0.4447246945
1.64,0.4502919246
1.65,0.4558253107
1.66,0.4613252621
1.67,0.4667921811
1.68,0.4722264611
1.69,0.4776284905
1.70,0.4829986485
1.71,0.4883373104
1.72,0.4936448427
1.73,0.4989216067
1.74,0.5041679571
1.75,0.5093842417
1.76,0.5145708040
1.77,0.5197279809
1.78,0.5248561025
1.79,0.5299554955
1.80,0.5350264792
1.81,0.5400693685
1.82,0.5450844732
1.83,0.5500720981
1.84,0.5550325423
1.85,0.5599661003
1.86,0.5648730620
1.87,0.5697537132
1.88,0.5746083339
1.89,0.5794372002
1.90,0.5842405848
1.91,0.5890187542
1.92,0.5937719728
1.93,0.5985004987
1.94,0.6032045880
1.95,0.6078844915
1.96,0.6125404567
1.97,0.6171727273
1.98,0.6217815437
1.99,0.6263671411
2.00,0.6309297532
2.01,0.6354696096
2.02,0.6399869348
2.03,0.6444819526
2.04,0.6489548815
2.05,0.6534059380
2.06,0.6578353348
2.07,0.6622432815
2.08,0.6666299847
2.09,0.6709956491
2.10,0.6753404747
2.11,0.6796646599
2.12,0.6839683993
2.13,0.6882518857
2.14,0.6925153088
2.15,0.6967588563
2.16,0.7009827118
2.17,0.7051870575
2.18,0.7093720728
2.19,0.7135379348
2.20,0.7176848179
2.21,0.7218128939
2.22,0.7259223329
2.23,0.7300133030
2.24,0.7340859683
2.25,0.7381404924
2.26,0.7421770368
2.27,0.7461957595
2.28,0.7501968174
2.29,0.7541803653
2.30,0.7581465554
2.31,0.7620955389
2.32,0.7660274639
2.33,0.7699424773
2.34,0.7738407241
2.35,0.7777223471
2.36,0.7815874880
2.37,0.7854362851
2.38,0.7892688770
2.39,0.7930853994
2.40,0.7968859862
2.41,0.8006707702
2.42,0.8044398824
2.43,0.8081934512
2.44,0.8119316053
2.45,0.8156544701
2.46,0.8193621708
2.47,0.8230548297
2.48,0.8267325690
2.49,0.8303955083
2.50,0.8340437672
2.51,0.8376774613
2.52,0.8412967074
2.53,0.8449016199
2.54,0.8484923119
2.55,0.8520688947
2.56,0.8556314797
2.57,0.8591801751
2.58,0.8627150895
2.59,0.8662363283
2.60,0.8697439985
2.61,0.8732382035
2.62,0.8767190461
2.63,0.8801866282
2.64,0.8836410504
2.65,0.8870824126
2.66,0.8905108130
2.67,0.8939263488
2.68,0.8973291163
2.69,0.9007192101
2.70,0.9040967251
2.71,0.9074617539
2.72,0.9108143883
2.73,0.9141547196
2.74,0.9174828373
2.75,0.9207988315
2.76,0.9241027878
2.77,0.9273947963
2.78,0.9306749417
2.79,0.9339433085
2.80,0.9371999816
2.81,0.9404450454
2.82,0.9436785801
2.83,0.9469006695
2.84,0.9501113928
2.85,0.9533108308
2.86,0.9564990630
2.87,0.9596761665
2.88,0.9628422189
2.89,0.9659972973
2.90,0.9691414775
2.91,0.9722748341
2.92,0.9753974416
2.93,0.9785093738
2.94,0.9816107027
2.95,0.9847015010
2.96,0.9877818397
2.97,0.9908517899
2.98,0.9939114207
2.99,0.9969608004
3.00,1
3.01,1.003029085
3.02,1.006048123
3.03,1.009057181
3.04,1.012056325
3.05,1.015045618
